Modèle,Métrique,Valeur
défaut/DummyClassifier_Uniform,score_auc,0.4200581395348837
défaut/DummyClassifier_Constant0,score_auc,0.5
défaut/DummyClassifier_Constant1,score_auc,0.5
défaut/LogisticRegression,score_auc,0.6825581395348838
défaut/LinearDiscriminantAnalysis,score_auc,0.7075581395348837
défaut/DecisionTreeClassifier,score_auc,0.6075581395348837
défaut/RandomForestClassifier,score_auc,0.6674418604651163
défaut/XGBClassifier,score_auc,0.6773255813953488
défaut/LinearSVC,score_auc,0.6950581395348837
défaut/KNeighborsClassifier,score_auc,0.726453488372093
défaut/VotingClassifier,score_auc,0.6808139534883721
éq_classes/DummyClassifier_Uniform,score_auc,0.49395448079658605
éq_classes/DummyClassifier_Constant0,score_auc,0.5
éq_classes/DummyClassifier_Constant1,score_auc,0.5
éq_classes/LogisticRegression,score_auc,0.6518492176386913
éq_classes/LinearDiscriminantAnalysis,score_auc,0.6248221906116643
éq_classes/DecisionTreeClassifier,score_auc,0.6134423897581791
éq_classes/RandomForestClassifier,score_auc,0.6525604551920342
éq_classes/XGBClassifier,score_auc,0.6401137980085347
éq_classes/LinearSVC,score_auc,0.6362019914651493
éq_classes/KNeighborsClassifier,score_auc,0.6002844950213371
éq_classes/VotingClassifier,score_auc,0.6660739687055476
SMOTE/DummyClassifier_Uniform,score_auc,0.49395448079658605
SMOTE/DummyClassifier_Constant0,score_auc,0.5
SMOTE/DummyClassifier_Constant1,score_auc,0.5
SMOTE/LogisticRegression,score_auc,0.6390469416785206
SMOTE/LinearDiscriminantAnalysis,score_auc,0.6390469416785206
SMOTE/DecisionTreeClassifier,score_auc,0.6671408250355618
SMOTE/RandomForestClassifier,score_auc,0.5999288762446657
SMOTE/XGBClassifier,score_auc,0.5864153627311522
SMOTE/LinearSVC,score_auc,0.6390469416785206
SMOTE/KNeighborsClassifier,score_auc,0.6123755334281651
SMOTE/VotingClassifier,score_auc,0.6386913229018493
Réseau de Neurones,score_auc,0.4989331436699858
défaut/DummyClassifier_Uniform,score_auc,0.4200581395348837
défaut/DummyClassifier_Constant0,score_auc,0.5
défaut/DummyClassifier_Constant1,score_auc,0.5
défaut/LogisticRegression,score_auc,0.6825581395348838
défaut/LinearDiscriminantAnalysis,score_auc,0.7075581395348837
défaut/DecisionTreeClassifier,score_auc,0.6075581395348837
défaut/RandomForestClassifier,score_auc,0.6674418604651163
défaut/XGBClassifier,score_auc,0.6773255813953488
défaut/LinearSVC,score_auc,0.6950581395348837
défaut/KNeighborsClassifier,score_auc,0.726453488372093
défaut/VotingClassifier,score_auc,0.6808139534883721
éq_classes/DummyClassifier_Uniform,score_auc,0.49395448079658605
éq_classes/DummyClassifier_Constant0,score_auc,0.5
éq_classes/DummyClassifier_Constant1,score_auc,0.5
éq_classes/LogisticRegression,score_auc,0.6518492176386913
éq_classes/LinearDiscriminantAnalysis,score_auc,0.6248221906116643
éq_classes/DecisionTreeClassifier,score_auc,0.6134423897581791
éq_classes/RandomForestClassifier,score_auc,0.6525604551920342
éq_classes/XGBClassifier,score_auc,0.6401137980085347
éq_classes/LinearSVC,score_auc,0.6362019914651493
éq_classes/KNeighborsClassifier,score_auc,0.6002844950213371
éq_classes/VotingClassifier,score_auc,0.6660739687055476
SMOTE/DummyClassifier_Uniform,score_auc,0.49395448079658605
SMOTE/DummyClassifier_Constant0,score_auc,0.5
SMOTE/DummyClassifier_Constant1,score_auc,0.5
SMOTE/LogisticRegression,score_auc,0.6390469416785206
SMOTE/LinearDiscriminantAnalysis,score_auc,0.6390469416785206
SMOTE/DecisionTreeClassifier,score_auc,0.6671408250355618
SMOTE/RandomForestClassifier,score_auc,0.5999288762446657
SMOTE/XGBClassifier,score_auc,0.5864153627311522
SMOTE/LinearSVC,score_auc,0.6390469416785206
SMOTE/KNeighborsClassifier,score_auc,0.6123755334281651
SMOTE/VotingClassifier,score_auc,0.6386913229018493
Réseau de Neurones,score_auc,0.5
Réseau de Neurones,score_auc,0.4142958748221906
Réseau de Neurones2,score_auc,0.4142958748221906
